,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_sde_net_arch,params_use_rms_prop,params_vf_coef,state
32,32,12994.782774,2021-08-23 01:20:44.267993,2021-08-23 01:24:43.505886,0 days 00:03:59.237893,tanh,2.1955244610171313e-06,1.0,0.98,0.0034015720776881214,0.7275715667831015,linear,1.0,5,medium,False,True,,False,0.13972190564899628,COMPLETE
33,33,10275.441958,2021-08-23 01:24:43.505886,2021-08-23 01:28:25.488277,0 days 00:03:41.982391,tanh,1.2524268126477468e-05,1.0,0.98,0.036079253752049734,0.4101377649570308,linear,1.0,5,medium,False,True,,False,0.37556246771778434,COMPLETE
34,34,14238.851812000003,2021-08-23 01:28:25.488277,2021-08-23 01:32:31.911116,0 days 00:04:06.422839,tanh,2.654206010958608e-05,0.98,0.98,0.002195328612184023,-1.2667749459930489,linear,0.9,5,3small,False,True,,False,0.5643039582952417,COMPLETE
35,35,15265.853842,2021-08-23 01:32:31.914115,2021-08-23 01:36:11.970594,0 days 00:03:40.056479,elu,6.2282512459455795e-06,1.0,0.95,0.0011720143829602842,-1.9224524422782505,linear,5.0,5,medium,False,True,,False,0.36749557320533566,COMPLETE
36,36,11932.775892,2021-08-23 01:36:11.970594,2021-08-23 01:40:57.628192,0 days 00:04:45.657598,elu,6.761362741857423e-06,1.0,0.95,0.38004473498359087,-1.9971550623428531,linear,5.0,20,medium,False,False,,False,0.3708071869468822,PRUNED
37,37,10568.949233,2021-08-23 01:40:57.629193,2021-08-23 01:42:02.039887,0 days 00:01:04.410694,elu,1.0410155163686565e-06,1.0,0.95,0.004195107145404047,-3.2003377107244293,linear,5.0,1,medium,True,True,,False,0.4298155645831413,PRUNED
38,38,12654.283768,2021-08-23 01:42:02.039887,2021-08-23 01:46:54.899277,0 days 00:04:52.859390,elu,3.2883194781039214e-07,1.0,0.95,0.11377012930988718,-1.8577804141679832,constant,5.0,10,medium,False,False,,False,0.230465527328212,PRUNED
39,39,11493.04383,2021-08-23 01:46:54.900278,2021-08-23 01:50:51.870632,0 days 00:03:56.970354,elu,1.624968535801324e-07,1.0,0.98,0.009631158138795691,-2.3242215521912106,linear,0.3,5,medium,True,True,,True,0.3463254995077333,COMPLETE
40,40,12801.156964,2021-08-23 01:50:51.870632,2021-08-23 01:55:32.704597,0 days 00:04:40.833965,elu,4.251173604017941e-08,0.8,0.95,1.786035784994119e-05,-1.5300848128836162,constant,5.0,10,small,False,False,,False,0.49464355758904394,PRUNED
41,41,15528.692052000002,2021-08-23 01:55:32.705608,2021-08-23 01:59:21.077949,0 days 00:03:48.372341,tanh,4.5892162467810385e-05,0.95,0.9999,0.000918640313268997,0.9821598043049513,linear,0.8,5,medium,False,True,,False,0.6662099258264842,COMPLETE
42,42,12340.954737,2021-08-23 01:59:21.077949,2021-08-23 02:03:16.148733,0 days 00:03:55.070784,tanh,6.704495494103458e-06,0.99,0.9999,0.0026705766754542867,-0.02518741634898325,linear,0.8,5,medium,False,True,,False,0.656452131958756,COMPLETE
43,43,14461.051973999998,2021-08-23 02:03:16.148733,2021-08-23 02:07:05.933046,0 days 00:03:49.784313,tanh,3.80859025528735e-05,0.8,0.9999,0.0005884754714684678,-0.4405263260614538,linear,0.8,5,medium,False,True,,False,0.7406363521223179,COMPLETE
44,44,12546.650083,2021-08-23 02:07:05.933046,2021-08-23 02:10:54.012290,0 days 00:03:48.079244,tanh,1.5180635510650504e-06,0.9,0.9999,0.8370658255385249,-3.6009764837624534,linear,0.8,5,medium,False,True,,False,0.4520936989193808,COMPLETE
45,45,13171.549911,2021-08-23 02:10:54.012290,2021-08-23 02:15:30.302794,0 days 00:04:36.290504,tanh,8.03817475753151e-07,0.8,0.99,5.105027797670042e-05,-2.538948325752451,linear,0.5,10,medium,False,True,,False,0.1442556880755917,PRUNED
46,46,12222.66745,2021-08-23 02:15:30.303795,2021-08-23 02:20:20.534972,0 days 00:04:50.231177,relu,0.051481333493660596,0.98,0.9999,0.0017625455224326832,-0.40133145119240965,linear,0.3,20,3medium,False,True,,True,0.0017537301826684535,PRUNED
47,47,12635.551232,2021-08-23 02:20:20.536969,2021-08-23 02:24:19.777750,0 days 00:03:59.240781,tanh,0.0008115940665571441,1.0,0.99,0.005944743123794997,0.18729866101939652,constant,0.6,5,medium,True,False,,False,0.5356530897079639,COMPLETE
48,48,12182.967998,2021-08-23 02:24:19.777750,2021-08-23 02:26:00.092152,0 days 00:01:40.314402,tanh,6.288985185510797e-06,0.92,0.9999,0.0008349803462413183,0.8315829766990184,linear,0.7,1,medium,False,True,,True,0.058208325041783644,COMPLETE
49,49,13090.831763,2021-08-23 02:26:00.107783,2021-08-23 02:30:35.102836,0 days 00:04:34.995053,elu,1.9778224233603005e-05,0.95,0.995,0.00036529399503770944,-3.0975309191670224,linear,2.0,10,medium,False,True,,False,0.1734004215902717,PRUNED
